username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Augustus Melmotte,776765730,"New York, NY",2023-01-25 01:28:51,"@feelsdesperate This is genuinely impressive stuff.
https://t.co/pEXANEb3e7",1,Twitter Web App,
cbp,4856018463,"New York, NY",2023-01-25 01:28:50,"@healthbyjames My child is an adult. It was mandated for work, college and sports. He got a religious exemption for… https://t.co/33h5LIcMqE",0,Twitter for iPhone,
Jps,350226760,"Paramus, NJ",2023-01-25 01:28:03,@TheAndyKatz love your insight into college basketball 🙏🏀🏀,0,Twitter for iPhone,
max,18435176,brooklyn,2023-01-25 01:27:14,@Pullingaclaudia imagine drawing conclusions from the way a group of college students describe their political beliefs,0,Twitter for iPhone,
P R 1 ⭐️,2847569386,NYC,2023-01-25 01:27:03,"Might be done with college hoops if I don’t see green These first two weeks of February with it 

Every other sport… https://t.co/ptOsNFLhSX",0,Twitter for iPhone,
gender rogers,89500126,NYC,2023-01-25 01:26:54,"@NeverSayNEET @GPussdick @LiliaKilburn @arianaelena97 It’s always the ones who are still obsessed with college girls, I swear",0,Twitter for iPhone,
Celia,18132445,"New York, USA",2023-01-25 01:24:35,@MikhailBazharov @rachelsteenblik @SeanLemonhead Reading Bartleby in 10th grade was one of the defining moments whe… https://t.co/Pb4DdB3x2L,1,Twitter for iPhone,
Sergio Molina,1494805187042623494,Jersey City,2023-01-25 01:20:18,Who would’ve thought the hardest place to win away in college basketball was Jersey Mike’s Arena lol,0,Twitter for iPhone,
"manny; ‘-_-‘, 0:)",1479159153486548992,"Manhattan, NY",2023-01-25 01:18:30,"Summer birthdays are, the best

Do you all get why now… that you’re… in college 😂😂😂",0,Twitter for iPhone,
CGF,26086217,NYC. ,2023-01-25 01:15:09,This drink had a CHOKE HOLD on me in college (yes I am old). https://t.co/UMNKAGOv5q,0,Twitter for iPhone,
